category,extreme,date,contract,open_interest,noncommercial_long,noncommercial_short,noncommercial_net,noncommercial_net_oi_pct,noncommercial_long_oi_pct,noncommercial_short_oi_pct,noncommercial_spreading,noncommercial_spreading_oi_pct,commercial_long,commercial_short,commercial_net,commercial_net_oi_pct,commercial_long_oi_pct,commercial_short_oi_pct,total_reportable_long,total_reportable_short,total_reportable_net,total_reportable_net_oi_pct,total_reportable_long_oi_pct,total_reportable_short_oi_pct,nonreportable_long,nonreportable_short,nonreportable_net,nonreportable_net_oi_pct,nonreportable_long_oi_pct,nonreportable_short_oi_pct,price,next_week_monday_target,next_week_monday_date,next_week_monday_price,next_week_monday_return,next_week_tuesday_target,next_week_tuesday_date,next_week_tuesday_price,next_week_tuesday_return,next_week_wednesday_target,next_week_wednesday_date,next_week_wednesday_price,next_week_wednesday_return,next_week_thursday_target,next_week_thursday_date,next_week_thursday_price,next_week_thursday_return,next_week_friday_target,next_week_friday_date,next_week_friday_price,next_week_friday_return,next_week_monday_daily_return,next_week_tuesday_daily_return,next_week_wednesday_daily_return,next_week_thursday_daily_return,next_week_friday_daily_return,next_week_mon_fri_return,price_return_1w,noncommercial_net_oi_pct_change,noncommercial_net_change,noncommercial_long_oi_pct_change,noncommercial_short_oi_pct_change,commercial_net_oi_pct_change,commercial_net_change,commercial_long_oi_pct_change,commercial_short_oi_pct_change,total_reportable_net_oi_pct_change,total_reportable_net_change,total_reportable_long_oi_pct_change,total_reportable_short_oi_pct_change,nonreportable_net_oi_pct_change,nonreportable_net_change,nonreportable_long_oi_pct_change,nonreportable_short_oi_pct_change,forward_return_1w,forward_return_2w,forward_return_3w,forward_return_4w,forward_return_13w,forward_return_26w,forward_return_52w,contract_multiplier,contract_unit,contract_notional_usd,noncommercial_long_notional_usd,noncommercial_short_notional_usd,noncommercial_net_notional_usd,noncommercial_net_flow_1w_notional_usd,noncommercial_net_flow_4w_notional_usd,commercial_long_notional_usd,commercial_short_notional_usd,commercial_net_notional_usd,commercial_net_flow_1w_notional_usd,commercial_net_flow_4w_notional_usd,total_reportable_long_notional_usd,total_reportable_short_notional_usd,total_reportable_net_notional_usd,total_reportable_net_flow_1w_notional_usd,total_reportable_net_flow_4w_notional_usd,nonreportable_long_notional_usd,nonreportable_short_notional_usd,nonreportable_net_notional_usd,nonreportable_net_flow_1w_notional_usd,nonreportable_net_flow_4w_notional_usd
noncommercial,highest_net_oi_pct,2018-04-10,VIX FUTURES - CBOE FUTURES EXCHANGE,380021,165574,72661,92913,24.449438320513867,43.56969746408751,19.120259143573644,71680,18.862115514668925,113111,204674,-91563,-24.0941947944982,29.764407756413462,53.85860255091166,350365,349015,1350,0.35524352601566755,92.1962207351699,91.84097720915423,29656,31006,-1350,-0.35524352601566755,7.803779264830101,8.159022790845768,20.47,2018-04-16,2018-04-16,16.56,-0.1910112359550562,2018-04-17,2018-04-17,15.25,-0.2550073277967757,2018-04-18,2018-04-18,15.6,-0.23790913531998048,2018-04-19,2018-04-19,15.96,-0.22032242305813377,2018-04-20,2018-04-20,16.88,-0.17537860283341478,-0.1910112359550562,-0.07910628019323662,0.022950819672131084,0.023076923076923217,0.05764411027568905,0.019323671497584627,-0.029857819905213412,3.495432656982718,13811.0,2.6174401310331987,-0.8779925259495123,-2.748404165019757,-10982.0,-0.7028997881623447,2.0455043768574086,0.7470284919629581,2829.0,0.8054238408405894,0.05839534887762454,-0.7470284919629581,-2829.0,-0.8054238408405823,-0.05839534887762454,-0.2550073277967757,-0.11968734733756714,-0.24328285295554464,-0.28138739618954556,-0.38251099169516356,-0.22081094284318514,-0.30239374694675136,1000.0,"$1,000 x VIX Index",20470.0,3389299780.0,1487370670.0,1901929110.0,282711170.0,804491470.0,2315382170.0,4189676780.0,-1874294610.0,-224801540.0,-714116420.0,7171971550.0,7144337050.0,27634500.0,57909630.0,90375050.0,607058320.0,634692820.0,-27634500.0,-57909630.0,-90375050.0
noncommercial,lowest_net_oi_pct,2019-11-26,VIX FUTURES - CBOE FUTURES EXCHANGE,504704,80111,290810,-210699,-41.747043811818415,15.872868057316763,57.61991186913518,102188,20.24711514075577,300077,79218,220859,43.76010493279229,59.45603759827542,15.695932665483134,482376,472216,10160,2.013061120973878,95.57602079634796,93.56295967537407,22328,32488,-10160,-2.013061120973878,4.423979203652042,6.4370403246259205,11.54,2019-12-02,2019-12-02,14.91,0.2920277296360487,2019-12-03,2019-12-03,15.96,0.3830155979202774,2019-12-04,2019-12-04,14.8,0.2824956672443675,2019-12-05,2019-12-05,14.52,0.25823223570190645,2019-12-06,2019-12-06,13.62,0.18024263431542464,0.2920277296360487,0.07042253521126773,-0.07268170426065168,-0.018918918918918948,-0.06198347107438018,-0.08651911468812878,-0.10264385692068434,-1.9947017656729145,7663.0,-1.3049890933424333,0.6897126723304794,2.352219346252184,-6597.0,-1.1688235902060384,-3.5210429364582225,0.35751758057927097,1066.0,-0.24834667824725898,-0.6058642588265286,-0.35751758057927097,-1066.0,0.2483466782472581,0.6058642588265295,0.3830155979202774,0.3587521663778164,0.06499133448873473,0.09792027729636055,1.4133448873483538,1.4272097053726172,0.8752166377816293,1000.0,"$1,000 x VIX Index",11540.0,924480940.0,3355947400.0,-2431466460.0,88431020.0,-262546540.0,3462888580.0,914175720.0,2548712860.0,-76129380.0,243678640.0,5566619040.0,5449372640.0,117246400.0,12301640.0,-18867900.0,257665120.0,374911520.0,-117246400.0,-12301640.0,18867900.0
noncommercial,highest_long_oi_pct,2016-03-22,VIX FUTURES - CBOE FUTURES EXCHANGE,322164,142039,145993,-3954,-1.2273252132454278,44.08903539812022,45.31636061136564,73597,22.844576054431904,83670,77988,5682,1.7636979923268892,25.97124445934369,24.2075464670168,299306,297578,1728,0.5363727790814616,92.9048559118958,92.36848313281433,22858,24586,-1728,-0.5363727790814616,7.095144088104195,7.631516867185657,14.17,2016-03-28,2016-03-28,15.24,0.07551164431898383,2016-03-29,2016-03-29,13.82,-0.02470007057163015,2016-03-30,2016-03-30,13.56,-0.04304869442484116,2016-03-31,2016-03-31,13.95,-0.015525758645024701,2016-04-01,2016-04-01,13.1,-0.07551164431898383,0.07551164431898383,-0.09317585301837272,-0.01881331403762665,0.028761061946902533,-0.06093189964157708,-0.14041994750656173,-0.15855106888361048,-4.532173989049556,-14280.0,1.3413957757806472,5.873569764830194,3.6247957679709923,11497.0,-1.2734346893200943,-4.898230457291088,-0.9073782210785639,-2783.0,-0.4892871509942722,0.41809107008430146,0.9073782210785639,2783.0,0.489287150994258,-0.4180910700843059,-0.02470007057163015,0.08821453775582211,0.04798870853916726,-0.06563161609033163,0.3041637261820749,0.12350035285815109,-0.11997177134791803,1000.0,"$1,000 x VIX Index",14170.0,2012692630.0,2068720810.0,-56028180.0,-202347600.0,-423045350.0,1185603900.0,1105089960.0,80513940.0,162912490.0,447531110.0,4241166020.0,4216680260.0,24485760.0,-39435110.0,24485760.0,323897860.0,348383620.0,-24485760.0,39435110.0,-24485760.0
noncommercial,lowest_long_oi_pct,2021-03-02,VIX FUTURES - CBOE FUTURES EXCHANGE,386381,40307,179345,-139038,-35.98468868810837,10.431931176740058,46.41661986484842,62250,16.111040656761073,262677,114202,148475,38.427096570483535,67.98393295736591,29.55683638688238,365234,355797,9437,2.4424078823751687,94.52690479086705,92.08449690849187,21147,30584,-9437,-2.4424078823751687,5.473095209132954,7.915503091508123,24.1,2021-03-08,2021-03-08,25.47,0.05684647302904544,2021-03-09,2021-03-09,24.03,-0.0029045643153526868,2021-03-10,2021-03-10,22.56,-0.06390041493775944,2021-03-11,2021-03-11,21.91,-0.09087136929460582,2021-03-12,2021-03-12,20.69,-0.14149377593361,0.05684647302904544,-0.05653710247349819,-0.06117353308364559,-0.028812056737588576,-0.05568233683249657,-0.1876717707106399,0.042838598009519835,5.5120866886070985,23880.0,-0.03001011779591245,-5.542096806403016,-5.4117333955891525,-23638.0,-0.7283063473788189,4.683427048210337,0.10035329301795404,242.0,0.0609798384977438,-0.039373454520216455,-0.10035329301795404,-242.0,-0.060979838497736694,0.039373454520216455,-0.0029045643153526868,-0.17883817427385895,-0.15767634854771784,-0.18630705394190883,-0.25726141078838183,-0.31618257261410787,0.3825726141078838,1000.0,"$1,000 x VIX Index",24100.0,971398700.0,4322214500.0,-3350815800.0,575508000.0,-542924800.0,6330515700.0,2752268200.0,3578247500.0,-569675800.0,550444000.0,8802139400.0,8574707700.0,227431700.0,5832200.0,7519200.0,509642700.0,737074400.0,-227431700.0,-5832200.0,-7519200.0
noncommercial,highest_short_oi_pct,2019-04-09,VIX FUTURES - CBOE FUTURES EXCHANGE,403033,79400,243783,-164383,-40.78648646636876,19.70062004848238,60.48710651485114,73906,18.337456238074797,223624,55579,168045,41.69509692754688,55.48528284284413,13.79018591529726,376930,373268,3662,0.9086104611781168,93.52335912940131,92.6147486682232,26103,29765,-3662,-0.9086104611781168,6.476640870598685,7.385251331776803,14.28,2019-04-15,2019-04-15,12.32,-0.13725490196078427,2019-04-16,2019-04-16,12.18,-0.1470588235294118,2019-04-17,2019-04-17,12.6,-0.11764705882352944,2019-04-18,2019-04-18,12.09,-0.15336134453781514,2019-04-19,2019-04-22,12.42,-0.13025210084033612,-0.13725490196078427,-0.011363636363636465,0.034482758620689724,-0.04047619047619044,0.027295285359801413,0.008116883116883189,0.06886227544910173,-3.297913243580382,-22900.0,-1.5567626432291313,1.7411506003512613,2.8485588767099728,21437.0,2.725235890382173,-0.12332298632779448,-0.44935436687041486,-1463.0,0.44195808065501296,0.8913124475254222,0.44935436687041486,1463.0,-0.44195808065501474,-0.8913124475254284,-0.1470588235294118,-0.14005602240896364,-0.08123249299719892,0.3529411764705883,-0.013305322128851493,0.4201680672268908,2.2703081232493,1000.0,"$1,000 x VIX Index",14280.0,1133832000.0,3481221240.0,-2347389240.0,-327012000.0,-1076397840.0,3193350720.0,793668120.0,2399682600.0,306120360.0,1084366080.0,5382560400.0,5330267040.0,52293360.0,-20891640.0,7968240.0,372750840.0,425044200.0,-52293360.0,20891640.0,-7968240.0
noncommercial,lowest_short_oi_pct,2018-03-20,VIX FUTURES - CBOE FUTURES EXCHANGE,417393,145654,73578,72076,17.268138181521973,34.89612906780899,17.627990886287023,98613,23.625935269637967,143524,215364,-71840,-17.211596744554893,34.385818640945104,51.5974153855,387791,387555,236,0.05654143696707899,92.90788297839207,92.85134154142499,29602,29838,-236,-0.05654143696707899,7.092117021607932,7.148658458575012,18.2,2018-03-26,2018-03-26,21.03,0.1554945054945056,2018-03-27,2018-03-27,22.5,0.2362637362637363,2018-03-28,2018-03-28,22.87,0.2565934065934068,2018-03-29,2018-03-29,19.97,0.09725274725274713,2018-03-30,2018-04-02,23.62,0.29780219780219785,0.1554945054945056,0.06990014265335232,0.016444444444444484,-0.12680367293397476,0.18277416124186296,0.12315739419876359,0.11314984709480114,3.889754407665869,18464.0,0.7257525605822934,-3.1640018470835756,-3.068370281247377,-15163.0,1.3793006340777367,4.447670915325126,0.8213841264184883,3301.0,1.7171738831273586,0.8957897567088651,-0.8213841264184883,-3301.0,-1.7171738831273542,-0.8957897567088668,0.2362637362637363,0.15934065934065944,0.12472527472527473,-0.16208791208791207,-0.2664835164835164,-0.2972527472527473,-0.2549450549450549,1000.0,"$1,000 x VIX Index",18200.0,2650902800.0,1339119600.0,1311783200.0,336044800.0,227973200.0,2612136800.0,3919624800.0,-1307488000.0,-275966600.0,-242933600.0,7057796200.0,7053501000.0,4295200.0,60078200.0,-14960400.0,538756400.0,543051600.0,-4295200.0,-60078200.0,14960400.0
noncommercial,latest,2026-08-04,VIX FUTURES - CBOE FUTURES EXCHANGE,369655,89917,151026,-61109,-16.531360322462838,24.32457291258065,40.85593323504349,76224,20.620308125143715,179066,113476,65590,17.74357170875546,48.44138453422786,30.697812825472397,345207,340726,4481,1.212211386292624,93.38626557195222,92.1740541856596,24448,28929,-4481,-1.212211386292624,6.613734428047774,7.825945814340399,16.5,2026-08-10,,,,2026-08-11,,,,2026-08-12,,,,2026-08-13,,,,2026-08-14,,,,,,,,,,-0.09390444810543663,1.9513295526151282,2304.0,-0.266355521026469,-2.217685073641597,-1.8979842496699284,-1799.0,-1.256074471175907,0.6419097784940213,0.05334530294520312,505.0,-0.5559193686180066,-0.60926467156321,-0.05334530294520312,-505.0,0.5559193686179968,0.6092646715632002,,,,,,,,1000.0,"$1,000 x VIX Index",16500.0,1483630500.0,2491929000.0,-1008298500.0,38016000.0,49747500.0,2954589000.0,1872354000.0,1082235000.0,-29683500.0,-31927500.0,5695915500.0,5621979000.0,73936500.0,8332500.0,17820000.0,403392000.0,477328500.0,-73936500.0,-8332500.0,-17820000.0
commercial,highest_net_oi_pct,2019-10-29,VIX FUTURES - CBOE FUTURES EXCHANGE,453332,80843,268791,-187948,-41.45923958599878,17.83306715607987,59.29230674207865,68366,15.08077964935191,282230,82487,199743,44.06108547378081,62.25680075529634,18.195715281515533,431439,419644,11795,2.601845887782023,95.17064756072811,92.5688016729461,21893,33688,-11795,-2.601845887782023,4.82935243927188,7.431198327053903,13.2,2019-11-04,2019-11-04,12.83,-0.02803030303030296,2019-11-05,2019-11-05,13.1,-0.007575757575757569,2019-11-06,2019-11-06,12.62,-0.043939393939393945,2019-11-07,2019-11-07,12.73,-0.03560606060606053,2019-11-08,2019-11-08,12.07,-0.08560606060606057,-0.02803030303030296,0.02104442712392829,-0.036641221374045796,0.008716323296355188,-0.05184603299293011,-0.059236165237724014,-0.08713692946058105,-2.303114495675082,-16712.0,-1.6809684611854472,0.6221460344896244,2.521100657309418,18082.0,2.224009821509334,-0.2970908358000912,0.21798616163434037,1370.0,-0.048141598598320456,-0.2661277602326635,-0.21798616163434037,-1370.0,0.048141598598316904,0.2661277602326564,-0.007575757575757569,-0.039393939393939315,-0.025757575757575757,-0.12575757575757573,0.2333333333333334,1.5431818181818184,1.5265151515151518,1000.0,"$1,000 x VIX Index",13200.0,1067127600.0,3548041200.0,-2480913600.0,-220598400.0,-436827600.0,3725436000.0,1088828400.0,2636607600.0,238682400.0,444655200.0,5694994800.0,5539300800.0,155694000.0,18084000.0,7827600.0,288987600.0,444681600.0,-155694000.0,-18084000.0,-7827600.0
commercial,lowest_net_oi_pct,2018-04-10,VIX FUTURES - CBOE FUTURES EXCHANGE,380021,165574,72661,92913,24.449438320513867,43.56969746408751,19.120259143573644,71680,18.862115514668925,113111,204674,-91563,-24.0941947944982,29.764407756413462,53.85860255091166,350365,349015,1350,0.35524352601566755,92.1962207351699,91.84097720915423,29656,31006,-1350,-0.35524352601566755,7.803779264830101,8.159022790845768,20.47,2018-04-16,2018-04-16,16.56,-0.1910112359550562,2018-04-17,2018-04-17,15.25,-0.2550073277967757,2018-04-18,2018-04-18,15.6,-0.23790913531998048,2018-04-19,2018-04-19,15.96,-0.22032242305813377,2018-04-20,2018-04-20,16.88,-0.17537860283341478,-0.1910112359550562,-0.07910628019323662,0.022950819672131084,0.023076923076923217,0.05764411027568905,0.019323671497584627,-0.029857819905213412,3.495432656982718,13811.0,2.6174401310331987,-0.8779925259495123,-2.748404165019757,-10982.0,-0.7028997881623447,2.0455043768574086,0.7470284919629581,2829.0,0.8054238408405894,0.05839534887762454,-0.7470284919629581,-2829.0,-0.8054238408405823,-0.05839534887762454,-0.2550073277967757,-0.11968734733756714,-0.24328285295554464,-0.28138739618954556,-0.38251099169516356,-0.22081094284318514,-0.30239374694675136,1000.0,"$1,000 x VIX Index",20470.0,3389299780.0,1487370670.0,1901929110.0,282711170.0,804491470.0,2315382170.0,4189676780.0,-1874294610.0,-224801540.0,-714116420.0,7171971550.0,7144337050.0,27634500.0,57909630.0,90375050.0,607058320.0,634692820.0,-27634500.0,-57909630.0,-90375050.0
commercial,highest_long_oi_pct,2021-02-23,VIX FUTURES - CBOE FUTURES EXCHANGE,392604,41074,203992,-162918,-41.49677537671547,10.46194129453597,51.95871667125144,60036,15.291744353088607,269767,97654,172113,43.83882996607269,68.71223930474473,24.873409338672044,370877,361682,9195,2.3420545893572147,94.4659249523693,92.12387036301209,21727,30922,-9195,-2.3420545893572147,5.534075047630691,7.876129636987907,23.11,2021-03-01,2021-03-01,23.35,0.010385114668974627,2021-03-02,2021-03-02,24.1,0.042838598009519835,2021-03-03,2021-03-03,26.67,0.154045867589788,2021-03-04,2021-03-04,28.57,0.2362613587191693,2021-03-05,2021-03-05,24.66,0.06707053223712678,0.010385114668974627,0.032119914346895095,0.10663900414937766,0.07124109486314212,-0.13685684284214206,0.056102783725910044,0.07688723205964587,-2.9917982573117783,320.0,-1.1144610265472021,1.8773372307645744,3.3373439067246693,411.0,2.3884670728251223,-0.948876833899547,0.345545649412883,731.0,-0.32437556185440997,-0.6699212112672939,-0.345545649412883,-731.0,0.324375561854402,0.669921211267285,0.042838598009519835,0.039809606231068884,-0.14366075292081348,-0.12159238424924268,-0.18476849848550414,-0.25486802250108176,0.24664647338814372,1000.0,"$1,000 x VIX Index",23110.0,949220140.0,4714255120.0,-3765034980.0,7395200.0,-607099700.0,6234315370.0,2256783940.0,3977531430.0,9498210.0,695079470.0,8570967470.0,8358471020.0,212496450.0,16893410.0,87979770.0,502110970.0,714607420.0,-212496450.0,-16893410.0,-87979770.0
commercial,lowest_long_oi_pct,2016-01-26,VIX FUTURES - CBOE FUTURES EXCHANGE,249347,96714,82489,14225,5.704901201939466,38.78691141260974,33.08201021067027,76119,30.527337405302653,54591,67895,-13304,-5.335536421131997,21.89358604675412,27.229122467886118,227424,226503,921,0.3693647808074691,91.20783486466651,90.83847008385904,21923,22844,-921,-0.3693647808074691,8.79216513533349,9.16152991614096,22.5,2016-02-01,2016-02-01,19.98,-0.11199999999999999,2016-02-02,2016-02-02,21.98,-0.023111111111111082,2016-02-03,2016-02-03,21.65,-0.0377777777777778,2016-02-04,2016-02-04,21.84,-0.029333333333333322,2016-02-05,2016-02-05,23.38,0.039111111111111097,-0.11199999999999999,0.10010010010010006,-0.0150136487716106,0.00877598152424941,0.07051282051282048,0.1701701701701701,-0.1362763915547025,2.272056783416867,4690.0,4.846214835013413,2.574158051596541,-2.0992659986779185,-4315.0,-5.445320483390827,-3.3460544847129086,0.17279078473894902,375.0,1.0113328737247542,0.838542088985804,-0.17279078473894902,-375.0,-1.0113328737247542,-0.838542088985804,-0.023111111111111082,0.17955555555555547,0.0715555555555556,-0.06755555555555559,-0.37955555555555553,-0.41999999999999993,-0.508,1000.0,"$1,000 x VIX Index",22500.0,2176065000.0,1856002500.0,320062500.0,105525000.0,,1228297500.0,1527637500.0,-299340000.0,-97087500.0,,5117040000.0,5096317500.0,20722500.0,8437500.0,,493267500.0,513990000.0,-20722500.0,-8437500.0,
commercial,highest_short_oi_pct,2018-04-10,VIX FUTURES - CBOE FUTURES EXCHANGE,380021,165574,72661,92913,24.449438320513867,43.56969746408751,19.120259143573644,71680,18.862115514668925,113111,204674,-91563,-24.0941947944982,29.764407756413462,53.85860255091166,350365,349015,1350,0.35524352601566755,92.1962207351699,91.84097720915423,29656,31006,-1350,-0.35524352601566755,7.803779264830101,8.159022790845768,20.47,2018-04-16,2018-04-16,16.56,-0.1910112359550562,2018-04-17,2018-04-17,15.25,-0.2550073277967757,2018-04-18,2018-04-18,15.6,-0.23790913531998048,2018-04-19,2018-04-19,15.96,-0.22032242305813377,2018-04-20,2018-04-20,16.88,-0.17537860283341478,-0.1910112359550562,-0.07910628019323662,0.022950819672131084,0.023076923076923217,0.05764411027568905,0.019323671497584627,-0.029857819905213412,3.495432656982718,13811.0,2.6174401310331987,-0.8779925259495123,-2.748404165019757,-10982.0,-0.7028997881623447,2.0455043768574086,0.7470284919629581,2829.0,0.8054238408405894,0.05839534887762454,-0.7470284919629581,-2829.0,-0.8054238408405823,-0.05839534887762454,-0.2550073277967757,-0.11968734733756714,-0.24328285295554464,-0.28138739618954556,-0.38251099169516356,-0.22081094284318514,-0.30239374694675136,1000.0,"$1,000 x VIX Index",20470.0,3389299780.0,1487370670.0,1901929110.0,282711170.0,804491470.0,2315382170.0,4189676780.0,-1874294610.0,-224801540.0,-714116420.0,7171971550.0,7144337050.0,27634500.0,57909630.0,90375050.0,607058320.0,634692820.0,-27634500.0,-57909630.0,-90375050.0
commercial,lowest_short_oi_pct,2017-01-24,VIX FUTURES - CBOE FUTURES EXCHANGE,478012,148636,282860,-134224,-28.0796298000887,31.094616871542975,59.17424667163167,121532,25.424466331389173,180396,41435,138961,29.070609106047545,37.738801536363106,8.668192430315557,450564,445827,4737,0.9909793059588463,94.25788473929525,93.2669054333364,27448,32185,-4737,-0.9909793059588463,5.742115260704752,6.733094566663598,11.07,2017-01-30,2017-01-30,11.88,0.07317073170731714,2017-01-31,2017-01-31,11.99,0.08310749774164417,2017-02-01,2017-02-01,11.81,0.06684733514001806,2017-02-02,2017-02-02,11.93,0.07768744354110213,2017-02-03,2017-02-03,10.97,-0.009033423667569984,0.07317073170731714,0.0092592592592593,-0.015012510425354453,0.0101608806096527,-0.08046940486169318,-0.07659932659932656,-0.06739679865206394,-3.4506848985159486,-1805.0,1.561978902283819,5.012663800799764,3.805755742558624,3123.0,1.63095562745481,-2.174800115103819,0.35507084404267686,1318.0,2.2068335095126344,1.8517626654699626,-0.35507084404267686,-1318.0,-2.206833509512636,-1.85176266546996,0.08310749774164417,0.019873532068653832,-0.02981029810298108,0.04516711833785014,-0.028003613369467106,-0.14814814814814825,0.0027100271002709064,1000.0,"$1,000 x VIX Index",11070.0,1645400520.0,3131260200.0,-1485859680.0,-19981350.0,-362453940.0,1996983720.0,458685450.0,1538298270.0,34571610.0,371863440.0,4987743480.0,4935304890.0,52438590.0,14590260.0,9409500.0,303849360.0,356287950.0,-52438590.0,-14590260.0,-9409500.0
commercial,latest,2026-08-04,VIX FUTURES - CBOE FUTURES EXCHANGE,369655,89917,151026,-61109,-16.531360322462838,24.32457291258065,40.85593323504349,76224,20.620308125143715,179066,113476,65590,17.74357170875546,48.44138453422786,30.697812825472397,345207,340726,4481,1.212211386292624,93.38626557195222,92.1740541856596,24448,28929,-4481,-1.212211386292624,6.613734428047774,7.825945814340399,16.5,2026-08-10,,,,2026-08-11,,,,2026-08-12,,,,2026-08-13,,,,2026-08-14,,,,,,,,,,-0.09390444810543663,1.9513295526151282,2304.0,-0.266355521026469,-2.217685073641597,-1.8979842496699284,-1799.0,-1.256074471175907,0.6419097784940213,0.05334530294520312,505.0,-0.5559193686180066,-0.60926467156321,-0.05334530294520312,-505.0,0.5559193686179968,0.6092646715632002,,,,,,,,1000.0,"$1,000 x VIX Index",16500.0,1483630500.0,2491929000.0,-1008298500.0,38016000.0,49747500.0,2954589000.0,1872354000.0,1082235000.0,-29683500.0,-31927500.0,5695915500.0,5621979000.0,73936500.0,8332500.0,17820000.0,403392000.0,477328500.0,-73936500.0,-8332500.0,-17820000.0
